Year,LocationAbbr,LocationDesc,DataSource,PriorityArea1,PriorityArea2,PriorityArea3,PriorityArea4,Category,Topic,Indicator,Break_Out_Category,Break_Out,Data_Value_Type,Data_Value_Unit,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Confidence_limit_Low,Confidence_limit_High,CategoryId,TopicId,IndicatorID,BreakOutCategoryId,BreakOutId,LocationID,GeoLocation
2004,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Gender,Male,Percentage,%,23.1,,,22.4,23.9,C1,T1,HC101,BOC02,GEN01,0,
2004,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,35+,Percentage,%,21.1,,,20.5,21.6,C1,T1,HC101,BOC03,AGE07,0,
2004,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Gender,Female,Percentage,%,13.2,,,12.8,13.6,C1,T1,HC101,BOC02,GEN02,0,
2004,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,25-44,Percentage,%,3.9,,,3.8,4.2,C1,T1,HC101,BOC03,AGE04,0,
2004,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,65+,Percentage,%,26.5,,,25.9,27.1,C1,T1,HC101,BOC03,AGE06,0,
2004,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Overall,Overall,Percentage,%,17,,,16.5,17.5,C1,T1,HC101,BOC01,OVR01,0,
2004,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,45-64,Percentage,%,19.2,,,18.6,19.8,C1,T1,HC101,BOC03,AGE05,0,
2004,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,18-24,Percentage,%,0.8,,,0.8,0.9,C1,T1,HC101,BOC03,AGE01,0,
2004,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,75+,Percentage,%,26.5,,,26,27,C1,T1,HC101,BOC03,AGE08,0,
2005,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,65+,Percentage,%,25.1,,,24.5,25.7,C1,T1,HC101,BOC03,AGE06,0,
2005,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,45-64,Percentage,%,18.4,,,17.7,19.1,C1,T1,HC101,BOC03,AGE05,0,
2005,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,25-44,Percentage,%,4,,,3.8,4.2,C1,T1,HC101,BOC03,AGE04,0,
2005,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,35+,Percentage,%,20.2,,,19.6,20.8,C1,T1,HC101,BOC03,AGE07,0,
2005,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Gender,Male,Percentage,%,22.6,,,21.8,23.4,C1,T1,HC101,BOC02,GEN01,0,
2005,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,75+,Percentage,%,25.1,,,24.6,25.6,C1,T1,HC101,BOC03,AGE08,0,
2005,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Gender,Female,Percentage,%,12.6,,,12.2,13,C1,T1,HC101,BOC02,GEN02,0,
2005,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Age,18-24,Percentage,%,0.9,,,0.8,1,C1,T1,HC101,BOC03,AGE01,0,
2005,US,United States,HCUP,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of major cardiovascular disease hospitalizations among all hospitalizations, US adults (18+) (Percentage); HCUP-NIS",Overall,Overall,Percentage,%,16.5,,,15.9,17,C1,T1,HC101,BOC01,OVR01,0,
