STATION,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP
GHCND:USC00097171,91.4,31.6953,-82.9239,20170101,0.05
GHCND:USC00097171,91.4,31.6953,-82.9239,20170102,0.41
GHCND:USC00097171,91.4,31.6953,-82.9239,20170104,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170105,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170106,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170107,0.64
GHCND:USC00097171,91.4,31.6953,-82.9239,20170108,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170109,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170110,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170111,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170112,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170113,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170114,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170115,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170116,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170117,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170118,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170119,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170120,0.03
GHCND:USC00097171,91.4,31.6953,-82.9239,20170121,0.04
GHCND:USC00097171,91.4,31.6953,-82.9239,20170122,4.90
GHCND:USC00097171,91.4,31.6953,-82.9239,20170123,0.90
GHCND:USC00097171,91.4,31.6953,-82.9239,20170124,0.18
GHCND:USC00097171,91.4,31.6953,-82.9239,20170125,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170126,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170127,0.08
GHCND:USC00097171,91.4,31.6953,-82.9239,20170128,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170129,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170130,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170131,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170201,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170202,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170203,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170204,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170205,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170206,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170207,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170208,0.75
GHCND:USC00097171,91.4,31.6953,-82.9239,20170209,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170210,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170211,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170212,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170213,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170214,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170215,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170216,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170217,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170218,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170219,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170220,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170221,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170222,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170223,0.20
GHCND:USC00097171,91.4,31.6953,-82.9239,20170224,0.00
GHCND:USC00097171,91.4,31.6953,-82.9239,20170225,0.00
GHCND:US1GACR0002,134.7,32.6981,-83.8652,20170101,0.75
GHCND:US1GACR0002,134.7,32.6981,-83.8652,20170102,4.00
GHCND:US1GACR0002,134.7,32.6981,-83.8652,20170103,2.75
GHCND:US1GACR0002,134.7,32.6981,-83.8652,20170104,0.01
GHCND:US1GACR0002,134.7,32.6981,-83.8652,20170107,1.51
GHCND:US1GACR0002,134.7,32.6981,-83.8652,20170108,0.00
GHCND:US1GACR0002,134.7,32.6981,-83.8652,20170111,0.00
GHCND:US1GACR0002,134.7,32.6981,-83.8652,20170113,0.00
GHCND:US1GACR0002,134.7,32.6981,-83.8652,20170114,0.00
GHCND:US1GACR0002,134.7,32.6981,-83.8652,20170116,0.00
GHCND:US1GACR0002,134.7,32.6981,-83.8652,20170117,0.00
GHCND:US1GACR0002,134.7,32.6981,-83.8652,20170118,0.00
GHCND:US1GACR0002,134.7,32.6981,-83.8652,20170119,0.00
